# THIS FILE SHOULD NEVER BE EDITED !!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,symbol,nuclear_spin,abundance,nucleon,proton,neutron,group,period,block,serie,state,family,ionization_energy,configuration,url,equal,b_coherent,b_incoherent,b_incoherent2,xs_coherent,xs_incoherent,xs_scattering,xs_absorption,atomic_number,atomic_weight,vdw_radius,covalent_radius,atomic_radius,electronegativity,electroaffinity,charge,color,xray_asf_a1,xray_asf_a2,xray_asf_a3,xray_asf_a4,xray_asf_c,xray_asf_b1,xray_asf_b2,xray_asf_b3,xray_asf_b4
type,str,str,int,float,int,int,int,int,int,str,int,str,str,float,str,str,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,int,str,float,float,float,float,float,float,float,float,float
Be,beryllium,Be,####,100,####,4,####,2,2,s,4,solid,alkaline earth metal,2254.22886,[He] 2s2,http://en.wikipedia.org/wiki/Beryllium,1,0.0000779,0.0000012,1.44E-012,7.63E-010,1.80E-013,7.63E-010,7.60E-013,4,9.0121821,0.2,0.096,0.14,1.57,####,0,1;1;1,1.5919,1.1278,0.5391,0.7029,0.0385,0.436427,0.018623,1.03483,0.00542
Be9,beryllium,Be,1.5,####,9,4,5,2,2,s,4,solid,alkaline earth metal,2254.22886,[He] 2s2,http://en.wikipedia.org/wiki/Beryllium,1,0.0000779,0.0000012,1.44E-012,7.63E-010,1.80E-013,7.63E-010,7.60E-013,4,9.0121821,0.2,0.096,0.14,1.57,####,0,1;1;1,1.5919,1.1278,0.5391,0.7029,0.0385,0.436427,0.018623,1.03483,0.00542
B,boron,B,####,100,####,5,####,13,2,p,5,solid,metalloid,2006.4564,[He] 2s2 2p1,http://en.wikipedia.org/wiki/Boron,1,####,3.68E-005,1.35424E-009,3.54E-010,1.70E-010,5.24E-010,7.67E-008,5,10.811,0.2,0.083,0.117,2.04,67.6370214,0,1;1;1,2.0545,1.3326,1.0979,0.7068,-0.1932,0.232185,0.01021,0.603498,0.001403
B10,boron,B,3,20,10,5,5,13,2,p,5,solid,metalloid,2006.4564,[He] 2s2 2p1,http://en.wikipedia.org/wiki/Boron,1,####,####,####,1.44E-011,3.00E-010,3.10E-010,3.84E-007,5,10.012937,0.2,0.083,0.117,2.04,67.6370214,0,1;1;1,2.0545,1.3326,1.0979,0.7068,-0.1932,0.232185,0.01021,0.603498,0.001403
B11,boron,B,1.5,80,11,5,6,13,2,p,5,solid,metalloid,2006.4564,[He] 2s2 2p1,http://en.wikipedia.org/wiki/Boron,1,0.0000665,-0.000013,1.69E-010,5.56E-010,2.10E-011,5.77E-010,5.50E-013,5,11.0093055,0.2,0.083,0.117,2.04,67.6370214,0,1;1;1,2.0545,1.3326,1.0979,0.7068,-0.1932,0.232185,0.01021,0.603498,0.001403
C,carbon,C,####,100,####,6,####,14,2,p,1,solid,non metal,2722.74054,[He] 2s2 2p2,http://en.wikipedia.org/wiki/Carbon,1,0.00006646,8.92E-007,7.95664E-013,5.55E-010,1.00E-013,5.55E-010,3.50E-013,6,12.0107,0.17,0.068,0.091,2.55,305.1801324,0,0;255;0,2.31,1.02,1.5886,0.865,0.2156,0.208439,0.102075,0.005687,0.516512
C12,carbon,C,0,98.9,12,6,6,14,2,p,1,solid,non metal,2722.74054,[He] 2s2 2p2,http://en.wikipedia.org/wiki/Carbon,1,0.000066511,0,0,5.56E-010,0,5.56E-010,3.53E-013,6,12,0.17,0.068,0.091,2.55,305.1801324,0,1;1;1,2.31,1.02,1.5886,0.865,0.2156,0.208439,0.102075,0.005687,0.516512
C13,carbon,C,0.5,1.1,13,6,7,14,2,p,1,solid,non metal,2722.74054,[He] 2s2 2p2,http://en.wikipedia.org/wiki/Carbon,1,0.0000619,-0.0000052,2.704E-011,4.81E-010,3.40E-012,4.84E-010,1.37E-013,6,13.00335484,0.17,0.068,0.091,2.55,305.1801324,0,1;1;1,2.31,1.02,1.5886,0.865,0.2156,0.208439,0.102075,0.005687,0.516512
C14,carbon,C,####,####,14,6,8,14,2,p,1,solid,non metal,2722.74054,[He] 2s2 2p2,http://en.wikipedia.org/wiki/Carbon,1,####,####,####,####,####,####,####,6,14.00324199,0.17,0.068,0.091,2.55,305.1801324,0,1;1;1,2.31,1.02,1.5886,0.865,0.2156,0.208439,0.102075,0.005687,0.516512
N,nitrogen,N,####,100,####,7,####,15,2,p,1,gas,non metal,3514.34538,[He] 2s2 2p3,http://en.wikipedia.org/wiki/Nitrogen,1,0.0000936,1.99E-005,3.9601E-010,1.10E-009,5.00E-011,1.15E-009,1.90E-010,7,14.0067,0.155,0.068,0.075,3.04,-16.926,0,0;0;255,12.2126,3.1322,2.0125,1.1663,-11.529,0.000057,0.098933,0.289975,0.005826
N14,nitrogen,N,1,99.63,14,7,7,15,2,p,1,gas,non metal,3514.34538,[He] 2s2 2p3,http://en.wikipedia.org/wiki/Nitrogen,1,0.0000937,0.00002,4E-010,1.10E-009,5.00E-011,1.15E-009,1.91E-010,7,14.00307401,0.155,0.068,0.075,3.04,-16.926,0,1;1;1,12.2126,3.1322,2.0125,1.1663,-11.529,0.000057,0.098933,0.289975,0.005826
N15,nitrogen,N,0.5,0.37,15,7,8,15,2,p,1,gas,non metal,3514.34538,[He] 2s2 2p3,http://en.wikipedia.org/wiki/Nitrogen,1,0.0000644,-0.0000002,4E-014,5.21E-010,5.00E-015,5.21E-010,2.40E-015,7,15.0001089,0.155,0.068,0.075,3.04,-16.926,0,1;1;1,12.2126,3.1322,2.0125,1.1663,-11.529,0.000057,0.098933,0.289975,0.005826
O,oxygen,O,####,100,####,8,####,16,2,p,1,gas,non metal,3292.85658,[He] 2s2 2p4,http://en.wikipedia.org/wiki/Oxygen,1,0.00005803,7.98E-007,6.36804E-013,4.23E-010,8.00E-014,4.23E-010,1.90E-014,8,15.9994,0.152,0.068,0.065,3.44,353.2968816,0,255;0;0,3.0485,2.2868,1.5463,0.867,0.2508,0.132771,0.057011,0.003239,0.329089
O16,oxygen,O,0,99.762,16,8,8,16,2,p,1,gas,non metal,3292.85658,[He] 2s2 2p4,http://en.wikipedia.org/wiki/Oxygen,1,0.00005803,0,0,4.23E-010,0,4.23E-010,1.00E-014,8,15.99491462,0.152,0.068,0.065,3.44,353.2968816,0,1;1;1,3.0485,2.2868,1.5463,0.867,0.2508,0.132771,0.057011,0.003239,0.329089
O17,oxygen,O,2.5,0.038,17,8,9,16,2,p,1,gas,non metal,3292.85658,[He] 2s2 2p4,http://en.wikipedia.org/wiki/Oxygen,1,0.0000578,0.0000018,3.24E-012,4.20E-010,4.00E-013,4.20E-010,2.36E-011,8,16.9991315,0.152,0.068,0.065,3.44,353.2968816,0,1;1;1,3.0485,2.2868,1.5463,0.867,0.2508,0.132771,0.057011,0.003239,0.329089
O18,oxygen,O,0,0.2,18,8,10,16,2,p,1,gas,non metal,3292.85658,[He] 2s2 2p4,http://en.wikipedia.org/wiki/Oxygen,1,0.0000584,0,0,4.29E-010,0,4.29E-010,1.60E-014,8,17.9991604,0.152,0.068,0.065,3.44,353.2968816,0,1;1;1,3.0485,2.2868,1.5463,0.867,0.2508,0.132771,0.057011,0.003239,0.329089
F,fluorine,F,####,100,####,9,####,17,2,p,6,gas,halogen,4212.83304,[He] 2s2 2p5,http://en.wikipedia.org/wiki/Fluorine,1,0.00005654,-0.00000082,6.724E-013,4.02E-010,8.00E-014,4.02E-010,9.60E-013,9,18.9984032,0.147,0.064,0.057,3.98,822.4074277,0,229;127;127,3.5392,2.6412,1.517,1.0243,0.2776,0.102825,0.042944,0.002615,0.261476
F19,fluorine,F,0.5,100,19,9,10,17,2,p,6,gas,halogen,4212.83304,[He] 2s2 2p5,http://en.wikipedia.org/wiki/Fluorine,1,0.00005654,-0.00000082,6.724E-013,4.02E-010,8.00E-014,4.02E-010,9.60E-013,9,18.9984032,0.147,0.064,0.057,3.98,822.4074277,0,1;1;1,3.5392,2.6412,1.517,1.0243,0.2776,0.102825,0.042944,0.002615,0.261476
Ne,neon,Ne,####,100,####,10,####,18,2,p,2,gas,noble gas,5214.2961,[He] 2s2 2p6,http://en.wikipedia.org/wiki/Neon,1,0.00004566,2.52E-006,6.3504E-012,2.62E-010,8.00E-013,2.63E-010,3.90E-012,10,20.1797,0.154,0.15,0.051,####,####,0,1;1;1,3.9553,3.1125,1.4546,1.1251,0.3515,0.084042,0.034262,0.002306,0.217184
Ne20,neon,Ne,0,90.51,20,10,10,18,2,p,2,gas,noble gas,5214.2961,[He] 2s2 2p6,http://en.wikipedia.org/wiki/Neon,1,0.00004631,0,0,2.70E-010,0,2.70E-010,3.60E-012,10,19.99244018,0.154,0.15,0.051,####,####,0,1;1;1,3.9553,3.1125,1.4546,1.1251,0.3515,0.084042,0.034262,0.002306,0.217184
Ne21,neon,Ne,1.5,0.27,21,10,11,18,2,p,2,gas,noble gas,5214.2961,[He] 2s2 2p6,http://en.wikipedia.org/wiki/Neon,1,0.0000666,0.000006,3.6E-011,5.60E-010,5.00E-012,5.70E-010,6.70E-011,10,20.99384674,0.154,0.15,0.051,####,####,0,1;1;1,3.9553,3.1125,1.4546,1.1251,0.3515,0.084042,0.034262,0.002306,0.217184
Ne22,neon,Ne,0,9.22,22,10,12,18,2,p,2,gas,noble gas,5214.2961,[He] 2s2 2p6,http://en.wikipedia.org/wiki/Neon,1,0.0000387,0,0,1.88E-010,0,1.88E-010,4.60E-012,10,21.99138551,0.154,0.15,0.051,####,####,0,1;1;1,3.9553,3.1125,1.4546,1.1251,0.3515,0.084042,0.034262,0.002306,0.217184
Na,sodium,Na,####,100,####,11,####,1,3,s,3,solid,alkali metal,1242.63438,[Ne] 3s1,http://en.wikipedia.org/wiki/Sodium,1,0.0000363,0.0000359,1.28881E-009,1.66E-010,1.62E-010,3.28E-010,5.30E-011,11,22.98976967,0.227,0.166,0.223,0.93,132.4885068,0,1;1;1,4.7626,3.1736,1.2674,1.1128,0.676,0.03285,0.088422,0.003136,1.29424
Na23,sodium,Na,1.5,100,23,11,12,1,3,s,3,solid,alkali metal,1242.63438,[Ne] 3s1,http://en.wikipedia.org/wiki/Sodium,1,0.0000363,0.0000359,1.28881E-009,1.66E-010,1.62E-010,3.28E-010,5.30E-011,11,22.98976967,0.227,0.166,0.223,0.93,132.4885068,0,1;1;1,4.7626,3.1736,1.2674,1.1128,0.676,0.03285,0.088422,0.003136,1.29424
Mg,magnesium,Mg,####,100,####,12,####,2,3,s,4,solid,alkaline earth metal,1848.85116,[Ne] 3s2,http://en.wikipedia.org/wiki/Magnesium,1,0.00005375,7.98E-006,6.36804E-011,3.63E-010,8.00E-012,3.71E-010,6.30E-012,12,24.305,0.173,0.141,0.172,1.31,####,0,1;1;1,5.4204,2.1735,1.2269,2.3073,0.8584,0.028275,0.792611,0.003808,0.071937
Mg24,magnesium,Mg,0,78.99,24,12,12,2,3,s,4,solid,alkaline earth metal,1848.85116,[Ne] 3s2,http://en.wikipedia.org/wiki/Magnesium,1,0.0000566,0,0,4.03E-010,0,4.03E-010,5.00E-012,12,23.9850419,0.173,0.141,0.172,1.31,####,0,1;1;1,5.4204,2.1735,1.2269,2.3073,0.8584,0.028275,0.792611,0.003808,0.071937
Mg25,magnesium,Mg,2.5,10,25,12,13,2,3,s,4,solid,alkaline earth metal,1848.85116,[Ne] 3s2,http://en.wikipedia.org/wiki/Magnesium,1,0.0000362,0.0000148,2.1904E-010,1.65E-010,2.80E-011,1.93E-010,1.90E-011,12,24.98583702,0.173,0.141,0.172,1.31,####,0,1;1;1,5.4204,2.1735,1.2269,2.3073,0.8584,0.028275,0.792611,0.003808,0.071937
Mg26,magnesium,Mg,0,11.01,26,12,14,2,3,s,4,solid,alkaline earth metal,1848.85116,[Ne] 3s2,http://en.wikipedia.org/wiki/Magnesium,1,0.0000489,0,0,3.00E-010,0,3.00E-010,3.82E-012,12,25.98259304,0.173,0.141,0.172,1.31,####,0,1;1;1,5.4204,2.1735,1.2269,2.3073,0.8584,0.028275,0.792611,0.003808,0.071937
Al,aluminium,Al,####,100,####,13,####,13,3,p,7,solid,post-transition metal,1447.36644,[Ne] 3s2 3p1,http://en.wikipedia.org/wiki/Aluminium,1,0.00003449,0.00000256,6.5536E-012,1.50E-010,8.20E-013,1.50E-010,2.31E-011,13,26.98153844,0.2,0.121,0.182,1.61,104.658294,0,1;1;1,6.4202,1.9002,1.5936,1.9646,1.1151,0.030387,0.007426,0.315472,0.850886
Al27,aluminium,Al,2.5,100,27,13,14,13,3,p,7,solid,post-transition metal,1447.36644,[Ne] 3s2 3p1,http://en.wikipedia.org/wiki/Aluminium,1,0.00003449,0.00000256,6.5536E-012,1.50E-010,8.20E-013,1.50E-010,2.31E-011,13,26.98153844,0.2,0.121,0.182,1.61,104.658294,0,1;1;1,6.4202,1.9002,1.5936,1.9646,1.1151,0.030387,0.007426,0.315472,0.850886
Si,silicon,Si,####,100,####,14,####,14,3,p,5,solid,metalloid,1971.08106,[Ne] 3s2 3p2,http://en.wikipedia.org/wiki/Silicon,1,0.000041491,1.78E-006,3.1684E-012,2.16E-010,4.00E-013,2.17E-010,1.71E-011,14,28.0855,0.21,0.12,0.146,1.9,335.9861778,0,1;1;1,6.2915,3.0353,1.9891,1.541,1.1407,0.024386,0.323337,0.006785,0.816937
