# THIS FILE SHOULD NEVER BE EDITED !!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,symbol,nuclear_spin,abundance,nucleon,proton,neutron,group,period,block,serie,state,family,ionization_energy,configuration,url,equal,b_coherent,b_incoherent,b_incoherent2,xs_coherent,xs_incoherent,xs_scattering,xs_absorption,atomic_number,atomic_weight,vdw_radius,covalent_radius,atomic_radius,electronegativity,electroaffinity,charge,color,xray_asf_a1,xray_asf_a2,xray_asf_a3,xray_asf_a4,xray_asf_c,xray_asf_b1,xray_asf_b2,xray_asf_b3,xray_asf_b4
type,str,str,int,float,int,int,int,int,int,str,int,str,str,float,str,str,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,int,str,float,float,float,float,float,float,float,float,float
Cl,chlorine,Cl,####,100,####,17,####,17,3,p,6,gas,halogen,3135.56568,[Ne] 3s2 3p5,http://en.wikipedia.org/wiki/Chlorine,1,0.00009577,6.49E-005,4.21201E-009,1.15E-009,5.30E-010,1.68E-009,3.35E-009,17,35.453,0.175,0.099,0.097,3.16,873.5566632,0,0;255;0,11.4604,7.1964,6.2556,1.6455,-9.5574,0.000104,0.011662,0.185194,0.477784
Cl35,chlorine,Cl,1.5,75.77,35,17,18,17,3,p,6,gas,halogen,3135.56568,[Ne] 3s2 3p5,http://en.wikipedia.org/wiki/Chlorine,1,0.0001165,0.000061,3.721E-009,1.71E-009,4.70E-010,2.18E-009,4.41E-009,17,34.96885271,0.175,0.099,0.097,3.16,873.5566632,0,1;1;1,11.4604,7.1964,6.2556,1.6455,-9.5574,0.000104,0.011662,0.185194,0.477784
Cl37,chlorine,Cl,1.5,24.23,37,17,20,17,3,p,6,gas,halogen,3135.56568,[Ne] 3s2 3p5,http://en.wikipedia.org/wiki/Chlorine,1,0.0000308,0.000001,1E-012,1.19E-010,1.00E-013,1.19E-010,4.33E-011,17,36.9659026,0.175,0.099,0.097,3.16,873.5566632,0,1;1;1,11.4604,7.1964,6.2556,1.6455,-9.5574,0.000104,0.011662,0.185194,0.477784
Ar,argon,Ar,####,100,####,18,####,18,3,p,2,gas,noble gas,3810.67128,[Ne] 3s2 3p6,http://en.wikipedia.org/wiki/Argon,1,0.00001909,1.34E-005,1.7956E-010,4.58E-011,2.25E-011,6.83E-011,6.75E-011,18,39.948,0.188,0.151,0.088,####,####,0,1;1;1,7.4845,6.7723,0.6539,1.6442,1.4445,0.009072,0.148407,0.438983,0.333929
Ar36,argon,Ar,0,0.337,36,18,18,18,3,p,2,gas,noble gas,3810.67128,[Ne] 3s2 3p6,http://en.wikipedia.org/wiki/Argon,1,0.000249,0,0,7.79E-009,0,7.79E-009,5.20E-010,18,35.96754628,0.188,0.151,0.088,####,####,0,1;1;1,7.4845,6.7723,0.6539,1.6442,1.4445,0.009072,0.148407,0.438983,0.333929
Ar38,argon,Ar,0,0.063,38,18,20,18,3,p,2,gas,noble gas,3810.67128,[Ne] 3s2 3p6,http://en.wikipedia.org/wiki/Argon,1,0.000035,0,0,1.50E-010,0,1.50E-010,8.00E-011,18,37.9627322,0.188,0.151,0.088,####,####,0,1;1;1,7.4845,6.7723,0.6539,1.6442,1.4445,0.009072,0.148407,0.438983,0.333929
Ar40,argon,Ar,0,99.6,40,18,22,18,3,p,2,gas,noble gas,3810.67128,[Ne] 3s2 3p6,http://en.wikipedia.org/wiki/Argon,1,0.0000183,0,0,4.21E-011,0,4.21E-011,6.60E-011,18,39.96238312,0.188,0.151,0.088,####,####,0,1;1;1,7.4845,6.7723,0.6539,1.6442,1.4445,0.009072,0.148407,0.438983,0.333929
K,potassium,K,####,100,####,19,####,1,4,s,3,solid,alkali metal,1049.58126,[Ar] 4s1,http://en.wikipedia.org/wiki/Potassium,1,0.0000367,1.47E-005,2.1609E-010,1.69E-010,2.70E-011,1.96E-010,2.10E-010,19,39.0983,0.275,0.203,0.277,0.82,121.2527862,0,1;1;1,8.2186,7.4398,1.0519,0.8659,1.4228,0.127949,0.007748,2.13187,0.416841
K39,potassium,K,1.5,93.258,39,19,20,1,4,s,3,solid,alkali metal,1049.58126,[Ar] 4s1,http://en.wikipedia.org/wiki/Potassium,1,0.0000374,0.000014,1.96E-010,1.76E-010,2.50E-011,2.01E-010,2.10E-010,19,38.9637069,0.275,0.203,0.277,0.82,121.2527862,0,1;1;1,8.2186,7.4398,1.0519,0.8659,1.4228,0.127949,0.007748,2.13187,0.416841
K40,potassium,K,4,0.012,40,19,21,1,4,s,3,solid,alkali metal,1049.58126,[Ar] 4s1,http://en.wikipedia.org/wiki/Potassium,1,0.00003,1.99E-005,3.9601E-010,1.10E-010,5.00E-011,1.60E-010,3.50E-009,19,39.96399867,0.275,0.203,0.277,0.82,121.2527862,0,1;1;1,8.2186,7.4398,1.0519,0.8659,1.4228,0.127949,0.007748,2.13187,0.416841
K41,potassium,K,1.5,6.73,41,19,22,1,4,s,3,solid,alkali metal,1049.58126,[Ar] 4s1,http://en.wikipedia.org/wiki/Potassium,1,0.0000269,0.000015,2.25E-010,9.10E-011,3.00E-011,1.20E-010,1.46E-010,19,40.96182597,0.275,0.203,0.277,0.82,121.2527862,0,1;1;1,8.2186,7.4398,1.0519,0.8659,1.4228,0.127949,0.007748,2.13187,0.416841
Ca,calcium,Ca,####,100,####,20,####,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.000047,6.31E-006,3.98161E-011,2.78E-010,5.00E-012,2.83E-010,4.30E-011,20,40.078,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca40,calcium,Ca,0,96.941,40,20,20,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.000048,0,0,2.90E-010,0,2.90E-010,4.10E-011,20,39.9625912,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca42,calcium,Ca,0,0.647,42,20,22,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.0000336,0,0,1.42E-010,0,1.42E-010,6.80E-011,20,41.9586183,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca43,calcium,Ca,3.5,0.135,43,20,23,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,-0.0000156,1.99E-005,3.9601E-010,3.10E-011,5.00E-011,8.00E-011,6.20E-010,20,42.9587668,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca44,calcium,Ca,0,2.086,44,20,24,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.0000142,0,0,2.50E-011,0,2.50E-011,8.80E-011,20,43.9554811,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca46,calcium,Ca,0,0.004,46,20,26,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.000036,0,0,1.60E-010,0,1.60E-010,7.40E-011,20,45.9536928,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Ca48,calcium,Ca,0,0.187,48,20,28,2,4,s,4,solid,alkaline earth metal,1478.17176,[Ar] 4s2,http://en.wikipedia.org/wiki/Calcium,1,0.0000039,0,0,1.90E-012,0,1.90E-012,1.09E-010,20,47.952534,0.2,0.176,0.223,1,5.93619,0,1;1;1,8.6266,7.3873,1.5899,1.0211,1.3751,0.104421,0.006599,0.857484,1.78437
Sc,scandium,Sc,####,100,####,21,####,3,4,d,8,solid,transition metal,1586.5707,[Ar] 4s2 4d1,http://en.wikipedia.org/wiki/Scandium,1,0.0001229,-0.00006,3.6E-009,1.90E-009,4.50E-010,2.35E-009,2.75E-009,21,44.9559102,0.2,0.17,0.209,1.36,45.4584,0,1;1;1,9.189,7.3679,1.6409,1.468,1.3329,0.090213,0.005729,1.36108,0.513531
Sc45,scandium,Sc,3.5,100,45,21,24,3,4,d,8,solid,transition metal,1586.5707,[Ar] 4s2 4d1,http://en.wikipedia.org/wiki/Scandium,1,0.0001229,-0.00006,3.6E-009,1.90E-009,4.50E-010,2.35E-009,2.75E-009,21,44.9559102,0.2,0.17,0.209,1.36,45.4584,0,1;1;1,9.189,7.3679,1.6409,1.468,1.3329,0.090213,0.005729,1.36108,0.513531
Ti,titanium,Ti,####,100,####,22,####,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,-0.00003438,4.78E-005,2.28484E-009,1.49E-010,2.87E-010,4.35E-010,6.09E-010,22,47.867,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
Ti46,titanium,Ti,0,8.2,46,22,24,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,0.0000493,0,0,3.05E-010,0,3.05E-010,5.90E-011,22,45.9526295,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
Ti47,titanium,Ti,2.5,7.4,47,22,25,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,0.0000363,-0.000035,1.225E-009,1.66E-010,1.50E-010,3.20E-010,1.70E-010,22,46.9517638,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
Ti48,titanium,Ti,0,73.8,48,22,26,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,-0.0000608,0,0,4.65E-010,0,4.65E-010,7.84E-010,22,47.9479471,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
Ti49,titanium,Ti,3.5,5.4,49,22,27,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,0.0000104,0.000051,2.601E-009,1.40E-011,3.30E-010,3.40E-010,2.20E-010,22,48.9478708,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
Ti50,titanium,Ti,0,5.2,50,22,28,4,4,d,8,solid,transition metal,1651.03458,[Ar] 4s2 4d2,http://en.wikipedia.org/wiki/Titanium,1,0.0000618,0,0,4.80E-010,0,4.80E-010,1.79E-011,22,49.9447921,0.2,0.16,0.2,1.54,20.3112,0,1;1;1,9.7595,7.3558,1.6991,1.9021,1.2807,0.078508,0.005,0.356338,1.16105
V,vanadium,V,####,100,####,23,####,5,4,d,8,solid,transition metal,1631.23116,[Ar] 4s2 4d3,http://en.wikipedia.org/wiki/Vanadium,1,-0.000003824,6.36E-005,0.000000004,1.84E-012,5.08E-010,5.10E-010,5.08E-010,23,50.9415,0.2,0.153,0.192,1.63,126.945,0,1;1;1,10.2971,7.3511,2.0703,2.0571,1.2199,0.068657,0.004385,0.268938,1.02478
V50,vanadium,V,6,0.25,50,23,27,5,4,d,8,solid,transition metal,1631.23116,[Ar] 4s2 4d3,http://en.wikipedia.org/wiki/Vanadium,1,0.000076,1.99E-005,3.9601E-010,7.30E-010,5.00E-011,7.80E-010,0.000000006,23,49.9471628,0.2,0.153,0.192,1.63,126.945,0,1;1;1,10.2971,7.3511,2.0703,2.0571,1.2199,0.068657,0.004385,0.268938,1.02478
V51,vanadium,V,3.5,99.75,51,23,28,5,4,d,8,solid,transition metal,1631.23116,[Ar] 4s2 4d3,http://en.wikipedia.org/wiki/Vanadium,1,-0.00000402,0.0000635,0.000000004,2.03E-012,5.07E-010,5.09E-010,4.90E-010,23,50.9439637,0.2,0.153,0.192,1.63,126.945,0,1;1;1,10.2971,7.3511,2.0703,2.0571,1.2199,0.068657,0.004385,0.268938,1.02478
Cr,chromium,Cr,####,100,####,24,####,6,4,d,8,solid,transition metal,1636.1397,[Ar] 4s2 4d4,http://en.wikipedia.org/wiki/Chromium,1,0.00003635,3.82E-005,1.45924E-009,1.66E-010,1.83E-010,3.49E-010,3.05E-010,24,51.9961,0.2,0.139,0.185,1.66,163.418112,0,1;1;1,10.6406,7.3537,3.324,1.4922,1.1832,0.061038,0.00392,0.202626,0.987399
Cr50,chromium,Cr,0,4.35,50,24,26,6,4,d,8,solid,transition metal,1636.1397,[Ar] 4s2 4d4,http://en.wikipedia.org/wiki/Chromium,1,-0.000045,0,0,2.54E-010,0,2.54E-010,1.58E-009,24,49.9460496,0.2,0.139,0.185,1.66,163.418112,0,1;1;1,10.6406,7.3537,3.324,1.4922,1.1832,0.061038,0.00392,0.202626,0.987399
Cr52,chromium,Cr,0,83.79,52,24,28,6,4,d,8,solid,transition metal,1636.1397,[Ar] 4s2 4d4,http://en.wikipedia.org/wiki/Chromium,1,0.0000492,0,0,3.04E-010,0,3.04E-010,7.60E-011,24,51.9405119,0.2,0.139,0.185,1.66,163.418112,0,1;1;1,10.6406,7.3537,3.324,1.4922,1.1832,0.061038,0.00392,0.202626,0.987399
Cr53,chromium,Cr,1.5,9.5,53,24,29,6,4,d,8,solid,transition metal,1636.1397,[Ar] 4s2 4d4,http://en.wikipedia.org/wiki/Chromium,1,-0.000042,0.0000687,4.71969E-009,2.22E-010,5.93E-010,8.15E-010,1.81E-009,24,52.9406538,0.2,0.139,0.185,1.66,163.418112,0,1;1;1,10.6406,7.3537,3.324,1.4922,1.1832,0.061038,0.00392,0.202626,0.987399
Cr54,chromium,Cr,0,2.36,54,24,30,6,4,d,8,solid,transition metal,1636.1397,[Ar] 4s2 4d4,http://en.wikipedia.org/wiki/Chromium,1,0.0000455,0,0,2.60E-010,0,2.60E-010,3.60E-011,24,53.9388849,0.2,0.139,0.185,1.66,163.418112,0,1;1;1,10.6406,7.3537,3.324,1.4922,1.1832,0.061038,0.00392,0.202626,0.987399
Mn,manganese,Mn,####,100,####,25,####,7,4,d,8,solid,transition metal,1797.5412,[Ar] 4s2 4d5,http://en.wikipedia.org/wiki/Manganese,1,-0.0000373,0.0000179,3.2041E-010,1.75E-010,4.00E-011,2.15E-010,1.33E-009,25,54.9380496,0.2,0.161,0.179,1.55,####,0,1;1;1,11.2819,7.3573,3.0193,2.2441,1.0896,0.053409,0.003432,0.178674,0.837543
Mn55,manganese,Mn,2.5,100,55,25,30,7,4,d,8,solid,transition metal,1797.5412,[Ar] 4s2 4d5,http://en.wikipedia.org/wiki/Manganese,1,-0.0000373,0.0000179,3.2041E-010,1.75E-010,4.00E-011,2.15E-010,1.33E-009,25,54.9380496,0.2,0.161,0.179,1.55,####,0,1;1;1,11.2819,7.3573,3.0193,2.2441,1.0896,0.053409,0.003432,0.178674,0.837543
Fe,iron,Fe,####,100,####,26,####,8,4,d,8,solid,transition metal,1910.80032,[Ar] 4s2 4d6,http://en.wikipedia.org/wiki/Iron,1,0.0000945,1.78E-005,3.1684E-010,1.12E-009,4.00E-011,1.16E-009,2.56E-010,26,55.845,0.2,0.152,0.172,1.83,36.5118,0,1;1;1,11.7695,7.3573,3.5222,2.3045,1.0369,0.047611,0.003072,0.153535,0.768805
Fe54,iron,Fe,0,5.8,54,26,28,8,4,d,8,solid,transition metal,1910.80032,[Ar] 4s2 4d6,http://en.wikipedia.org/wiki/Iron,1,0.000042,0,0,2.20E-010,0,2.20E-010,2.25E-010,26,53.9396148,0.2,0.152,0.172,1.83,36.5118,0,1;1;1,11.7695,7.3573,3.5222,2.3045,1.0369,0.047611,0.003072,0.153535,0.768805
Fe56,iron,Fe,0,91.7,56,26,30,8,4,d,8,solid,transition metal,1910.80032,[Ar] 4s2 4d6,http://en.wikipedia.org/wiki/Iron,1,0.0000994,0,0,1.24E-009,0,1.24E-009,2.59E-010,26,55.9349421,0.2,0.152,0.172,1.83,36.5118,0,1;1;1,11.7695,7.3573,3.5222,2.3045,1.0369,0.047611,0.003072,0.153535,0.768805
Fe57,iron,Fe,0.5,2.2,57,26,31,8,4,d,8,solid,transition metal,1910.80032,[Ar] 4s2 4d6,http://en.wikipedia.org/wiki/Iron,1,0.000023,1.55E-005,2.4025E-010,6.60E-011,3.00E-011,1.00E-010,2.48E-010,26,56.9353987,0.2,0.152,0.172,1.83,36.5118,0,1;1;1,11.7695,7.3573,3.5222,2.3045,1.0369,0.047611,0.003072,0.153535,0.768805
Fe58,iron,Fe,0,0.3,58,26,32,8,4,d,8,solid,transition metal,1910.80032,[Ar] 4s2 4d6,http://en.wikipedia.org/wiki/Iron,1,0.00015,0,0,2.80E-009,0,2.80E-009,1.28E-010,26,57.9332805,0.2,0.152,0.172,1.83,36.5118,0,1;1;1,11.7695,7.3573,3.5222,2.3045,1.0369,0.047611,0.003072,0.153535,0.768805
Co,cobalt,Co,####,100,####,27,####,9,4,d,8,solid,transition metal,1905.6258,[Ar] 4s2 4d7,http://en.wikipedia.org/wiki/Cobalt,1,0.0000249,-0.000062,3.844E-009,7.79E-011,4.80E-010,5.60E-010,3.72E-009,27,58.9332002,0.2,0.126,0.167,1.88,160.38594,0,1;1;1,12.2841,7.3409,4.0034,2.3488,1.0118,0.042791,0.002784,0.135359,0.711692
Co59,cobalt,Co,3.5,100,59,27,32,9,4,d,8,solid,transition metal,1905.6258,[Ar] 4s2 4d7,http://en.wikipedia.org/wiki/Cobalt,1,0.0000249,-0.000062,3.844E-009,7.79E-011,4.80E-010,5.60E-010,3.72E-009,27,58.9332002,0.2,0.126,0.167,1.88,160.38594,0,1;1;1,12.2841,7.3409,4.0034,2.3488,1.0118,0.042791,0.002784,0.135359,0.711692
Ni,nickel,Ni,####,100,####,28,####,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,0.000103,6.43E-005,4.13449E-009,1.33E-009,5.20E-010,1.85E-009,4.49E-010,28,58.6934,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Ni58,nickel,Ni,0,68.27,58,28,30,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,0.000144,0,0,2.61E-009,0,2.61E-009,4.60E-010,28,57.9353479,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Ni60,nickel,Ni,0,26.1,60,28,32,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,0.000028,0,0,9.90E-011,0,9.90E-011,2.90E-010,28,59.9307906,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Ni61,nickel,Ni,3.5,1.13,61,28,33,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,0.000076,0.000039,1.521E-009,7.26E-010,1.90E-010,9.20E-010,2.50E-010,28,60.9310604,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Ni62,nickel,Ni,0,3.59,62,28,34,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,-0.000087,0,0,9.50E-010,0,9.50E-010,1.45E-009,28,61.9283488,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Ni64,nickel,Ni,0,0.91,64,28,36,10,4,d,8,solid,transition metal,1847.30364,[Ar] 4s2 4d8,http://en.wikipedia.org/wiki/Nickel,1,-0.0000037,0,0,1.70E-012,0,1.70E-012,1.52E-010,28,63.9279696,0.163,0.124,0.162,1.91,279.801288,0,1;1;1,12.8376,7.292,4.4438,2.38,1.0341,0.038785,0.002565,0.121763,0.663421
Cu,copper,Cu,####,100,####,29,####,11,4,d,8,solid,transition metal,1868.24352,[Ar] 4s2 4d9,http://en.wikipedia.org/wiki/Copper,1,0.00007718,2.09E-005,4.3681E-010,7.49E-010,5.50E-011,8.03E-010,3.78E-010,29,63.546,0.14,0.132,0.157,1.9,298.811604,0,1;1;1,13.338,7.1676,5.6158,1.6735,1.191,0.035828,0.00247,0.113966,0.648126
Cu63,copper,Cu,1.5,69.17,63,29,34,11,4,d,8,solid,transition metal,1868.24352,[Ar] 4s2 4d9,http://en.wikipedia.org/wiki/Copper,1,0.0000643,0.0000022,4.84E-012,5.20E-010,6.00E-013,5.20E-010,4.50E-010,29,62.9296011,0.14,0.132,0.157,1.9,298.811604,0,1;1;1,13.338,7.1676,5.6158,1.6735,1.191,0.035828,0.00247,0.113966,0.648126
Cu65,copper,Cu,1.5,30.83,65,29,36,11,4,d,8,solid,transition metal,1868.24352,[Ar] 4s2 4d9,http://en.wikipedia.org/wiki/Copper,1,0.0001061,0.0000179,3.2041E-010,1.41E-009,4.00E-011,1.45E-009,2.17E-010,29,64.9277937,0.14,0.132,0.157,1.9,298.811604,0,1;1;1,13.338,7.1676,5.6158,1.6735,1.191,0.035828,0.00247,0.113966,0.648126
Zn,zinc,Zn,####,100,####,30,####,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.0000568,7.83E-006,6.13089E-011,4.05E-010,7.70E-012,4.13E-010,1.11E-010,30,65.39,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Zn64,zinc,Zn,0,48.6,64,30,34,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.0000522,0,0,3.42E-010,0,3.42E-010,9.30E-011,30,63.9291466,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Zn66,zinc,Zn,0,27.9,66,30,36,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.0000597,0,0,4.48E-010,0,4.48E-010,6.20E-011,30,65.9260368,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Zn67,zinc,Zn,2.5,4.1,67,30,37,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.0000756,-0.000015,2.25E-010,7.18E-010,2.80E-011,7.46E-010,6.80E-010,30,66.9271309,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Zn68,zinc,Zn,0,18.8,68,30,38,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.0000603,0,0,4.57E-010,0,4.57E-010,1.10E-010,30,67.9248476,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Zn70,zinc,Zn,0,0.6,70,30,40,12,4,d,8,solid,transition metal,2271.51756,[Ar] 4s2 4d10,http://en.wikipedia.org/wiki/Zinc,1,0.00006,0,0,4.50E-010,0,4.50E-010,9.20E-012,30,69.925325,0.139,0.122,0.153,1.65,####,0,1;1;1,14.0743,7.0318,5.1652,2.41,1.3041,0.032655,0.002333,0.103163,0.587097
Ga,gallium,Ga,####,100,####,31,####,13,4,p,7,solid,post-transition metal,1450.63074,[Ar] 4s2 4d10 4p1,http://en.wikipedia.org/wiki/Gallium,1,0.00007288,1.13E-005,1.2769E-010,6.68E-010,1.60E-011,6.83E-010,2.75E-010,31,69.723,0.187,0.122,0.181,1.81,99.138,0,1;1;1,15.2354,6.7006,4.3591,2.9623,1.7189,0.030669,0.002412,0.107805,0.614135
Ga69,gallium,Ga,1.5,60.1,69,31,38,13,4,p,7,solid,post-transition metal,1450.63074,[Ar] 4s2 4d10 4p1,http://en.wikipedia.org/wiki/Gallium,1,0.0000788,-0.0000085,7.225E-011,7.80E-010,9.10E-012,7.89E-010,2.18E-010,31,68.925581,0.187,0.122,0.181,1.81,99.138,0,1;1;1,15.2354,6.7006,4.3591,2.9623,1.7189,0.030669,0.002412,0.107805,0.614135
Ga71,gallium,Ga,1.5,39.9,71,31,40,13,4,p,7,solid,post-transition metal,1450.63074,[Ar] 4s2 4d10 4p1,http://en.wikipedia.org/wiki/Gallium,1,0.000064,-0.0000082,6.724E-011,5.15E-010,8.40E-012,5.23E-010,3.61E-010,31,70.924705,0.187,0.122,0.181,1.81,99.138,0,1;1;1,15.2354,6.7006,4.3591,2.9623,1.7189,0.030669,0.002412,0.107805,0.614135
Ge,germanium,Ge,####,100,####,32,####,14,4,p,5,solid,metalloid,1910.07492,[Ar] 4s2 4d10 4p2,http://en.wikipedia.org/wiki/Germanium,1,0.00008185,1.20E-005,1.44E-010,8.42E-010,1.80E-011,8.60E-010,2.20E-010,32,72.64,0.2,0.117,0.152,2.01,298.0697616,0,1;1;1,16.0816,6.3747,3.7068,3.683,2.1313,0.028509,0.002516,0.114468,0.547625
Ge70,germanium,Ge,0,20.5,70,32,38,14,4,p,5,solid,metalloid,1910.07492,[Ar] 4s2 4d10 4p2,http://en.wikipedia.org/wiki/Germanium,1,0.0001,0,0,1.26E-009,0,1.26E-009,3.00E-010,32,69.9242504,0.2,0.117,0.152,2.01,298.0697616,0,1;1;1,16.0816,6.3747,3.7068,3.683,2.1313,0.028509,0.002516,0.114468,0.547625
Ge72,germanium,Ge,0,27.4,72,32,40,14,4,p,5,solid,metalloid,1910.07492,[Ar] 4s2 4d10 4p2,http://en.wikipedia.org/wiki/Germanium,1,0.0000851,0,0,9.10E-010,0,9.10E-010,8.00E-011,32,71.9220762,0.2,0.117,0.152,2.01,298.0697616,0,1;1;1,16.0816,6.3747,3.7068,3.683,2.1313,0.028509,0.002516,0.114468,0.547625
Ge73,germanium,Ge,4.5,7.8,73,32,41,14,4,p,5,solid,metalloid,1910.07492,[Ar] 4s2 4d10 4p2,http://en.wikipedia.org/wiki/Germanium,1,0.0000502,0.000034,1.156E-009,3.17E-010,1.50E-010,4.70E-010,1.51E-009,32,72.9234594,0.2,0.117,0.152,2.01,298.0697616,0,1;1;1,16.0816,6.3747,3.7068,3.683,2.1313,0.028509,0.002516,0.114468,0.547625
Ge74,germanium,Ge,0,36.5,74,32,42,14,4,p,5,solid,metalloid,1910.07492,[Ar] 4s2 4d10 4p2,http://en.wikipedia.org/wiki/Germanium,1,0.0000758,0,0,7.20E-010,0,7.20E-010,4.00E-011,32,73.9211782,0.2,0.117,0.152,2.01,298.0697616,0,1;1;1,16.0816,6.3747,3.7068,3.683,2.1313,0.028509,0.002516,0.114468,0.547625
